tag,userId,userName,Link,Reputation
sorting,11522,Ben,http://stackoverflow.com/users/11522/ben,17451
sorting,428862,Merlin,http://stackoverflow.com/users/428862/merlin,5193
sorting,1089623,Klausos Klausos,http://stackoverflow.com/users/1089623/klausos-klausos,3340
sorting,140903,Am1rr3zA,http://stackoverflow.com/users/140903/am1rr3za,1510
sorting,1208142,Rodolphe,http://stackoverflow.com/users/1208142/rodolphe,1231
sorting,1920178,Oria Gruber,http://stackoverflow.com/users/1920178/oria-gruber,525
sorting,5002668,a.smiet,http://stackoverflow.com/users/5002668/a-smiet,436
sorting,3606192,RafazZ,http://stackoverflow.com/users/3606192/rafazz,402
sorting,2605262,Lukasz,http://stackoverflow.com/users/2605262/lukasz,401
sorting,1525147,Leonardo Lopez,http://stackoverflow.com/users/1525147/leonardo-lopez,362
sorting,5069802,Javier,http://stackoverflow.com/users/5069802/javier,301
sorting,1475412,user1475412,http://stackoverflow.com/users/1475412/user1475412,114
sorting,5811973,ishpreet,http://stackoverflow.com/users/5811973/ishpreet,96
sorting,3254025,spec3,http://stackoverflow.com/users/3254025/spec3,66
sorting,4226199,Seb ,http://stackoverflow.com/users/4226199/seb,47
sorting,4442084,Bert Zangle,http://stackoverflow.com/users/4442084/bert-zangle,42
sorting,1882455,user1882455,http://stackoverflow.com/users/1882455/user1882455,41
sorting,2770149,user2770149,http://stackoverflow.com/users/2770149/user2770149,41
sorting,4405877,Xer,http://stackoverflow.com/users/4405877/xer,41
sorting,2657817,user2657817,http://stackoverflow.com/users/2657817/user2657817,32
sorting,5922756,JUBER,http://stackoverflow.com/users/5922756/juber,20
sorting,6150853,Krisna Indrawan,http://stackoverflow.com/users/6150853/krisna-indrawan,18
sorting,5526835,feynmanium,http://stackoverflow.com/users/5526835/feynmanium,17
