tag,userId,userName,Link,Reputation
sparse-matrix,1461210,ali_m,http://stackoverflow.com/users/1461210/ali-m,28494
sparse-matrix,851699,Peter,http://stackoverflow.com/users/851699/peter,1659
sparse-matrix,2821224,9blue,http://stackoverflow.com/users/2821224/9blue,1450
sparse-matrix,442117,Shyamkkhadka,http://stackoverflow.com/users/442117/shyamkkhadka,606
sparse-matrix,1529314,dmon,http://stackoverflow.com/users/1529314/dmon,449
sparse-matrix,2605262,Lukasz,http://stackoverflow.com/users/2605262/lukasz,401
sparse-matrix,5998425,Edward,http://stackoverflow.com/users/5998425/edward,147
sparse-matrix,5550721,Daria Smirnova,http://stackoverflow.com/users/5550721/daria-smirnova,40
sparse-matrix,6477678,Canuck,http://stackoverflow.com/users/6477678/canuck,25
sparse-matrix,5774291,murban,http://stackoverflow.com/users/5774291/murban,20
sparse-matrix,7039917,Marcus4985,http://stackoverflow.com/users/7039917/marcus4985,11
sparse-matrix,6572305,joelslft,http://stackoverflow.com/users/6572305/joelslft,1
