tag,userId,userName,Link,Reputation
sql-server,146077,Kirk Broadhurst,http://stackoverflow.com/users/146077/kirk-broadhurst,16020
sql-server,648265,ivan_pozdeev,http://stackoverflow.com/users/648265/ivan-pozdeev,9235
sql-server,1845408,renakre,http://stackoverflow.com/users/1845408/renakre,4507
sql-server,2902280,P. Camilleri,http://stackoverflow.com/users/2902280/p-camilleri,2749
sql-server,817630,Kris Harper,http://stackoverflow.com/users/817630/kris-harper,2357
sql-server,579980,Pavel Surmenok,http://stackoverflow.com/users/579980/pavel-surmenok,2301
sql-server,640739,CyprUS,http://stackoverflow.com/users/640739/cyprus,1690
sql-server,2821224,9blue,http://stackoverflow.com/users/2821224/9blue,1450
sql-server,721998,Darth.Vader,http://stackoverflow.com/users/721998/darth-vader,926
sql-server,2735009,Patthebug,http://stackoverflow.com/users/2735009/patthebug,798
sql-server,5002668,a.smiet,http://stackoverflow.com/users/5002668/a-smiet,436
sql-server,894510,thegreatt,http://stackoverflow.com/users/894510/thegreatt,164
sql-server,1868436,Santino,http://stackoverflow.com/users/1868436/santino,34
