tag,userId,userName,Link,Reputation
statistics,1461210,ali_m,http://stackoverflow.com/users/1461210/ali-m,28494
statistics,283296,Amelio Vazquez-Reina,http://stackoverflow.com/users/283296/amelio-vazquez-reina,16654
statistics,288609,user288609,http://stackoverflow.com/users/288609/user288609,1676
statistics,3585557,Steven C. Howell,http://stackoverflow.com/users/3585557/steven-c-howell,850
statistics,3340234,Leb_Broth,http://stackoverflow.com/users/3340234/leb-broth,473
statistics,1705012,Thom Chubb,http://stackoverflow.com/users/1705012/thom-chubb,354
statistics,1017373,user1017373,http://stackoverflow.com/users/1017373/user1017373,309
statistics,5688175,floflo29,http://stackoverflow.com/users/5688175/floflo29,298
statistics,4606294,user1337,http://stackoverflow.com/users/4606294/user1337,169
statistics,1513130,wizbcn,http://stackoverflow.com/users/1513130/wizbcn,164
statistics,5111380,bikuser,http://stackoverflow.com/users/5111380/bikuser,152
statistics,5768196,mvd,http://stackoverflow.com/users/5768196/mvd,117
statistics,3300849,user3300849,http://stackoverflow.com/users/3300849/user3300849,83
statistics,5018930,Christoph Pohl,http://stackoverflow.com/users/5018930/christoph-pohl,71
