tag,userId,userName,Link,Reputation
time-series,2336654,piRSquared,http://stackoverflow.com/users/2336654/pirsquared,30224
time-series,1609077,scls,http://stackoverflow.com/users/1609077/scls,2121
time-series,308827,user308827,http://stackoverflow.com/users/308827/user308827,1641
time-series,1496362,dorien,http://stackoverflow.com/users/1496362/dorien,1614
time-series,2605262,Lukasz,http://stackoverflow.com/users/2605262/lukasz,401
time-series,2780360,D8Amonk,http://stackoverflow.com/users/2780360/d8amonk,369
time-series,2201603,david,http://stackoverflow.com/users/2201603/david,280
time-series,5453723,Azfar Faizan,http://stackoverflow.com/users/5453723/azfar-faizan,100
time-series,1725944,P-Rod,http://stackoverflow.com/users/1725944/p-rod,76
time-series,2356181,FinanceGuyThatCantCode,http://stackoverflow.com/users/2356181/financeguythatcantcode,60
time-series,4226199,Seb ,http://stackoverflow.com/users/4226199/seb,47
