tag,userId,userName,Link,Reputation
tkinter,772649,HYRY,http://stackoverflow.com/users/772649/hyry,45151
tkinter,3019689,jez,http://stackoverflow.com/users/3019689/jez,4234
tkinter,886669,yasar,http://stackoverflow.com/users/886669/yasar,3667
tkinter,3594865,sedeh,http://stackoverflow.com/users/3594865/sedeh,1327
tkinter,2061989,Caspar Wylie,http://stackoverflow.com/users/2061989/caspar-wylie,1299
tkinter,1820650,Dr.Avalanche,http://stackoverflow.com/users/1820650/dr-avalanche,778
tkinter,5905642,nickpick,http://stackoverflow.com/users/5905642/nickpick,417
tkinter,1556228,Jared,http://stackoverflow.com/users/1556228/jared,398
tkinter,1171112,TimGJ,http://stackoverflow.com/users/1171112/timgj,346
tkinter,1598778,&#193;lvaro,http://stackoverflow.com/users/1598778/%c3%81lvaro,306
tkinter,6906747,Narusan,http://stackoverflow.com/users/6906747/narusan,56
tkinter,2679280,RYJ,http://stackoverflow.com/users/2679280/ryj,36
tkinter,3568044,user3568044,http://stackoverflow.com/users/3568044/user3568044,29
tkinter,5007758,Khalif21,http://stackoverflow.com/users/5007758/khalif21,16
