tag,userId,userName,Link,Reputation
unix,610569,alvas,http://stackoverflow.com/users/610569/alvas,19481
unix,300886,piokuc,http://stackoverflow.com/users/300886/piokuc,14033
unix,492620,Oz123,http://stackoverflow.com/users/492620/oz123,8990
unix,492372,Abhishek Shivkumar,http://stackoverflow.com/users/492372/abhishek-shivkumar,4707
unix,1380285,bob.sacamento,http://stackoverflow.com/users/1380285/bob-sacamento,1544
unix,158049,NewbiZ,http://stackoverflow.com/users/158049/newbiz,1347
unix,670979,Kevin,http://stackoverflow.com/users/670979/kevin,1200
unix,567879,user567879,http://stackoverflow.com/users/567879/user567879,1184
unix,6530695,Tony Tannous,http://stackoverflow.com/users/6530695/tony-tannous,541
unix,1017373,user1017373,http://stackoverflow.com/users/1017373/user1017373,309
unix,3503704,user3503704,http://stackoverflow.com/users/3503704/user3503704,16
