tag,userId,userName,Link,Reputation
vector,300886,piokuc,http://stackoverflow.com/users/300886/piokuc,14033
vector,3019689,jez,http://stackoverflow.com/users/3019689/jez,4234
vector,1089623,Klausos Klausos,http://stackoverflow.com/users/1089623/klausos-klausos,3340
vector,3646408,Abhishek Bhatia,http://stackoverflow.com/users/3646408/abhishek-bhatia,538
vector,1920178,Oria Gruber,http://stackoverflow.com/users/1920178/oria-gruber,525
vector,5597830,DarthLazar,http://stackoverflow.com/users/5597830/darthlazar,380
vector,2946352,Chronicle,http://stackoverflow.com/users/2946352/chronicle,373
vector,1002744,Seb,http://stackoverflow.com/users/1002744/seb,344
vector,202091,D0SBoots,http://stackoverflow.com/users/202091/d0sboots,292
vector,3272574,user3272574,http://stackoverflow.com/users/3272574/user3272574,183
vector,2805751,user2805751,http://stackoverflow.com/users/2805751/user2805751,166
vector,2757239,verbamour,http://stackoverflow.com/users/2757239/verbamour,135
vector,3599381,OnurA,http://stackoverflow.com/users/3599381/onura,108
vector,5811973,ishpreet,http://stackoverflow.com/users/5811973/ishpreet,96
vector,3841374,Rajesh Subramanian,http://stackoverflow.com/users/3841374/rajesh-subramanian,54
vector,3826115,user3826115,http://stackoverflow.com/users/3826115/user3826115,48
vector,5818372,Gykonik,http://stackoverflow.com/users/5818372/gykonik,44
vector,4442084,Bert Zangle,http://stackoverflow.com/users/4442084/bert-zangle,42
vector,5550721,Daria Smirnova,http://stackoverflow.com/users/5550721/daria-smirnova,40
vector,3286134,zycuber,http://stackoverflow.com/users/3286134/zycuber,28
vector,5289913,Ferreroire,http://stackoverflow.com/users/5289913/ferreroire,16
