Tags,Number of questions,Number of Answered
logical-operators,2,2
differential-evolution,1,1
genfromtxt,1,1
masked-array,1,0
convolution,2,2
ubuntu,2,1
image-masking,1,0
object-slicing,1,1
python-2.7,30,21
affinetransform,1,0
numpy-memmap,2,2
linear-regression,3,3
ode,1,1
cross-compiling,1,0
imshow,1,1
vtk,3,1
bigfloat,1,0
io,1,0
kernel-density,1,0
jupyter-notebook,1,0
c++,3,2
transpose,1,1
concatenation,2,2
thread-local-storage,1,1
rhel6,1,1
64bit,1,1
if-statement,2,2
initialization,1,1
datetime,3,2
database,1,1
memory-management,1,1
numpy-broadcasting,5,5
comparison,1,1
python,500,358
visualization,1,1
mapping,1,1
linear-programming,2,1
f2py,2,0
decision-tree,1,1
parallel-processing,4,2
linux,4,3
bash,1,1
data-mining,1,0
python-dateutil,1,1
gaussian,3,2
sockets,1,1
pandas,57,52
openai-gym,1,0
h5py,1,0
multiprocessing,1,0
numpy,500,358
buffer,2,1
output,1,0
vectorization,13,12
k-means,1,1
int128,1,1
pip,5,4
cosine-similarity,1,1
coalesce,1,1
perceptron,1,1
floating-accuracy,1,1
pearson,1,1
fortran,2,1
types,1,1
ffmpeg,1,1
split,1,1
pyinstaller,1,0
elementwise-operations,1,1
installation,1,1
out-of-memory,1,0
exponentiation,1,1
indexing,2,2
data-science,2,2
hierarchical-clustering,1,0
c,3,1
theano-cuda,1,0
computer-vision,2,2
datetime64,1,1
memory,2,1
docstring,1,0
sparse-matrix,4,3
osx,2,1
curve-fitting,2,1
sympy,1,0
opencv,16,11
matrix-indexing,1,1
tensorflow,14,9
matplotlib,31,19
excel,1,1
yocto,1,0
fromfile,1,1
csv,6,5
conda,1,0
hash,1,1
visual-studio,1,0
import,3,3
nnet,1,0
spyder,2,1
theano,7,3
miniconda,1,0
scatter,1,0
input,1,1
mpi,1,0
shortest-path,1,1
euclidean-distance,1,1
pipeline,1,1
dot-product,1,1
matlab,12,8
aggregate,1,1
greatest-common-divisor,1,1
random,4,4
covariance,1,1
list-comprehension,2,2
floyd-warshall,1,1
converter,1,1
mathematical-optimization,1,1
multithreading,1,1
neural-network,2,1
knn,1,1
append,5,3
windows64,1,1
winapi,2,1
algorithm,8,6
range,1,1
nan,2,2
pygame,1,0
homebrew,1,1
image-recognition,1,1
nco,1,1
kernel,1,0
slash,1,1
colors,2,1
signal-processing,3,2
linear-algebra,4,2
variables,1,1
recurrent-neural-network,1,1
floating-point,1,1
file-format,1,1
truthiness,1,1
tiff,1,0
conditional,1,1
math,2,1
gradient-descent,1,1
pyqt5,1,0
joblib,2,0
binary,1,1
fft,2,2
boto3,1,1
physics,2,1
directory,1,1
mpi4py,1,0
histogram,1,1
unique,1,1
torch,1,0
debugging,1,1
virtualenv,1,0
azure,1,1
tesseract,1,1
pca,1,1
integral,2,1
azure-web-roles,1,1
data-fitting,2,1
compare,1,1
bitwise-operators,1,1
time-series,1,1
ipython-notebook,1,0
whitelist,1,1
nonetype,1,0
ipython,1,1
scikit-learn,11,6
interpolation,1,1
seaborn,2,2
performance,15,13
stdev,1,1
object-detection,1,0
for-loop,1,0
reduce,1,1
anaconda,6,0
slice,2,2
shared-objects,1,0
string,2,2
scipy,52,35
mnist,1,1
normalization,2,2
python-3.x,13,9
keras,3,2
integration,1,1
python-xarray,1,1
pyqt,1,0
amazon-s3,1,1
package,1,0
dataframe,13,12
binary-matrix,1,1
numerical-methods,2,2
statistics,5,3
set,1,1
python-3.5,2,2
increment,1,1
pycharm,1,0
diagonal,2,2
derivative,1,1
grouping,1,1
data-analysis,2,1
shuffle,1,1
image-processing,2,1
gdal,1,0
mask,2,1
mmap,1,0
overlay,1,1
multidimensional-array,8,6
matrix,31,25
runtime-error,1,1
list,8,6
function,1,1
count,1,1
windows,2,2
python-import,1,1
graph-algorithm,1,1
python-c-api,1,0
boolean-logic,1,1
deep-learning,5,2
artificial-intelligence,1,0
python-imaging-library,2,2
cygwin,1,0
lowpass-filter,1,0
subclass,1,1
image,2,2
classification,1,1
resnet,1,0
type-conversion,1,1
weighted,1,1
moviepy,1,1
caffe,2,0
arrays,106,90
sorting,3,3
operators,1,1
audio,1,1
transformation,1,1
percentile,1,1
windows-10,1,0
pyenv,1,0
finance,1,1
machine-learning,12,7
cython,4,2
plot,4,3
autoencoder,1,0
ubuntu-16.04,1,0
skimage,2,1
series,1,1
cuda,1,0
typeerror,1,0
matrix-multiplication,3,3
regression,2,0
pypng,1,1
multiplication,1,1
opticalflow,1,1
loops,2,1
netcdf,2,2
itertools,1,1
vector,2,2
pickle,1,1
optimization,3,3
quad,1,0
pycaffe,1,0
eigenvector,1,0
apt,1,1
ctypes,1,1
r,1,1
matplotlib-basemap,1,0
dictionary,4,4
vscode,1,1
scale,1,1
merge,2,2
mean,1,1
