name,gold badges,silver badges,bronze badges
Kirk Broadhurst,5,49,102
Kevin,6,22,51
Merlin,18,51,120
alvas,30,125,264
user2657817,1,1,6
Nico AD,3,12,37
piRSquared,4,20,53
Oz123,12,45,92
gha,1,3,9
ali_m,6,62,115
Petr Shypila,2,11,30
Heinz,1,5,18
Heinz,1,5,18
yasar,9,45,106
Louis,1,7,14
Amelio Vazquez-Reina,31,157,323
pceccon,1,16,41
mflowww,1,1,10
user308827,9,28,63
fabian789,3,32,73
user961665,1,1,2
lhk,4,40,64
mikip,4,14,30
Saladsamurai,1,1,8
csiz,6,17,28
jos76,1,1,7
ajwood,8,25,61
dorien,3,20,56
dorien,3,20,56
thegreatt,1,3,15
Luca Thiede,1,2,12
Abhishek Bhatia,1,8,38
eran,12,41,81
Peter Mortensen,13,69,107
Leonardo Lopez,3,9,28
batuman,3,19,46
Am1rr3zA,6,38,67
ivan_pozdeev,6,25,53
pceccon,1,16,41
Shyamkkhadka,2,8,15
Brian,7,33,54
Chichi,3,7,31
bph,3,25,58
piRSquared,4,20,53
bclayman,1,8,22
DevShark,2,6,19
Albert,30,132,239
Rodolphe,1,11,24
wxbx,1,2,5
Anthony,14,49,104
Heinz,1,5,18
Heinz,1,5,18
user785099,3,17,28
Nabil,2,9,21
piRSquared,4,20,53
piRSquared,4,20,53
HYRY,8,71,102
piokuc,3,29,65
&#193;lvaro,1,3,14
user3377126,2,6,14
Snesticle,1,4,11
brelian,1,6,17
erik,1,1,4
Peter Smit,11,71,134
lordlabakdas,1,3,10
tjb305,1,3,12
gerrit,1,18,58
M456,1,10,12
Dr.Avalanche,1,13,30
Malintha,3,11,36
Seb,1,3,12
piRSquared,4,20,53
Kris Harper,3,19,46
crippledlambda,17,78,162
Serhiy,2,15,36
Roby,3,13,33
Timothy Swan,1,4,16
user3272574,1,2,5
Sam Hammamy,3,13,33
scls,2,17,27
Renzeee,1,1,10
user297850,7,27,38
9blue,4,16,28
dorien,3,20,56
Kirk Broadhurst,5,49,102
Darth.Vader,4,16,35
solvingPuzzles,5,43,85
P. Camilleri,2,9,27
piRSquared,4,20,53
kartikey_kant,2,6,17
CodyBugstein,16,58,131
user297850,7,27,38
Leszek,1,6,15
user288609,9,28,42
Josh Bleecher Snyder,1,24,32
Sterling,7,27,54
mathetes,2,8,19
Chronicle,1,6,16
P. Camilleri,2,9,27
Caspar Wylie,1,6,16
Ben,25,70,94
Jee Seok Yoon,6,16,29
Pavel Surmenok,1,17,29
Simon,1,10,34
Woltan,7,38,69
John Mee,18,84,123
Patthebug,1,8,25
david,1,2,13
Klausos Klausos,21,62,109
user1475412,2,3,17
dorien,3,20,56
Peter,1,12,18
mrgloom,1,26,51
wizbcn,1,2,10
nathan12343,2,6,17
CyprUS,6,28,70
user308827,9,28,63
bob.sacamento,1,14,44
user288609,9,28,42
ajkumar25,3,19,43
Darth.Vader,4,16,35
Muppet,2,11,22
CodeNoob,7,39,79
user1475412,2,3,17
rth,2,12,36
user567879,9,36,72
Curious2learn,18,70,99
piRSquared,4,20,53
renakre,1,8,35
Abhishek Shivkumar,18,59,98
Rick Teachey,5,25,50
